resume_id,cluster_id,cluster_name
3f2dcf93,-1,Noise
67749193,-1,Noise
8d8ae744,12,React Specialists
949481a0,12,React Specialists
1b092a97,-1,Noise
833f0f04,12,React Specialists
27bfb17c,12,React Specialists
eeaadd01,-1,Noise
90b07c13,-1,Noise
e7bd033f,12,React Specialists
621a0029,-1,Noise
2314f841,12,React Specialists
6ee0e1be,12,React Specialists
44adb8ed,-1,Noise
875957ca,12,React Specialists
ea72d3b7,-1,Noise
95913906,12,React Specialists
f2db1ba9,-1,Noise
817685f7,-1,Noise
49012ed8,12,React Specialists
271923b8,-1,Noise
85864c39,12,React Specialists
8967b47f,12,React Specialists
fd7aaa0a,12,React Specialists
3d319f0b,12,React Specialists
0029808b,12,React Specialists
31be14ab,12,React Specialists
96ec4fe8,-1,Noise
771b835b,12,React Specialists
ba580ee4,12,React Specialists
ea805a4c,12,React Specialists
d0a38ba9,-1,Noise
d3fa5b3a,-1,Noise
34f7eda6,-1,Noise
a15cc447,12,React Specialists
5285b565,-1,Noise
ee628874,-1,Noise
6746802c,12,React Specialists
bfe93d53,-1,Noise
ebb0c0b3,-1,Noise
e4d6752c,4,Communication Specialists
867b2480,-1,Noise
45a0a193,-1,Noise
f9491b97,5,Communication Specialists
1f98d16b,4,Communication Specialists
956b521b,4,Communication Specialists
7c5f6ae8,-1,Noise
fbf6b6a9,4,Communication Specialists
8beaf9ca,-1,Noise
ec2e5af2,5,Communication Specialists
62bc771c,-1,Noise
cf8b119b,4,Communication Specialists
db882e9a,5,Communication Specialists
6f214cda,4,Communication Specialists
41702efd,4,Communication Specialists
41501589,5,Communication Specialists
9d2186e0,-1,Noise
f28021a2,-1,Noise
b8bcea94,5,Communication Specialists
6ab90dd6,5,Communication Specialists
3fb33870,4,Communication Specialists
278fcb2d,4,Communication Specialists
ab32870d,5,Communication Specialists
8a340d12,4,Communication Specialists
bc354d29,4,Communication Specialists
1a6f065c,-1,Noise
6c3a7a0a,-1,Noise
e8449e79,-1,Noise
bb2c511c,-1,Noise
be7ac5e1,4,Communication Specialists
15f29a66,5,Communication Specialists
9a12a7b4,-1,Noise
5f64fc29,5,Communication Specialists
3ce47570,-1,Noise
ec979530,5,Communication Specialists
f8405e5d,5,Communication Specialists
253576a9,4,Communication Specialists
78de2040,5,Communication Specialists
e6689316,-1,Noise
a112af46,-1,Noise
4c52aff8,11,Electrical Machines Specialists
8102f433,11,Electrical Machines Specialists
9cce1755,-1,Noise
319d395e,13,Control Systems Specialists
3cde7fa3,13,Control Systems Specialists
3f8e6f44,13,Control Systems Specialists
bfea40ad,11,Electrical Machines Specialists
b8a9bdb1,-1,Noise
491f67ee,13,Control Systems Specialists
5b2f70f3,-1,Noise
e00b2171,-1,Noise
acdf1f75,11,Electrical Machines Specialists
5d8110d9,13,Control Systems Specialists
805bc472,13,Control Systems Specialists
3159c451,-1,Noise
1ba2b66a,-1,Noise
3929e131,13,Control Systems Specialists
63008222,11,Electrical Machines Specialists
f6c71b7e,-1,Noise
e06ce633,11,Electrical Machines Specialists
7451414d,-1,Noise
6a00ddbf,11,Electrical Machines Specialists
701b469d,-1,Noise
8e27345f,11,Electrical Machines Specialists
d6d1812d,11,Electrical Machines Specialists
1d1dca64,11,Electrical Machines Specialists
9f699405,11,Electrical Machines Specialists
ef33be11,13,Control Systems Specialists
5e77bf18,13,Control Systems Specialists
a5909ae0,-1,Noise
dd564b52,11,Electrical Machines Specialists
d858885a,11,Electrical Machines Specialists
26e87727,-1,Noise
a0e83d66,13,Control Systems Specialists
657d9e2a,13,Control Systems Specialists
f7cc98e8,11,Electrical Machines Specialists
a4edf455,-1,Noise
1e5eb03a,-1,Noise
de5cdd7b,13,Control Systems Specialists
608960a8,-1,Noise
e1a9592a,9,Autocad Specialists
8c5b3f10,9,Autocad Specialists
1b608f6f,10,Thermodynamics Specialists
57b491a7,9,Autocad Specialists
b1a051f2,9,Autocad Specialists
c234a5db,10,Thermodynamics Specialists
94041990,10,Thermodynamics Specialists
1c128da6,10,Thermodynamics Specialists
50f61c38,9,Autocad Specialists
98830dc0,9,Autocad Specialists
13a940ea,9,Autocad Specialists
9419c862,10,Thermodynamics Specialists
f6bca518,9,Autocad Specialists
2e104cec,9,Autocad Specialists
80bab839,9,Autocad Specialists
394a5809,9,Autocad Specialists
066cb674,9,Autocad Specialists
74365e16,9,Autocad Specialists
b8625251,9,Autocad Specialists
52b80f89,9,Autocad Specialists
55133571,9,Autocad Specialists
01e25cc5,10,Thermodynamics Specialists
18ca0cb1,10,Thermodynamics Specialists
bb4160c8,10,Thermodynamics Specialists
1c92a6f7,10,Thermodynamics Specialists
db6dcea4,9,Autocad Specialists
6659b80c,9,Autocad Specialists
8b6cdb11,10,Thermodynamics Specialists
a1d17c96,9,Autocad Specialists
2ba35c71,9,Autocad Specialists
38382f13,9,Autocad Specialists
382b167b,10,Thermodynamics Specialists
511d38f6,10,Thermodynamics Specialists
ac4ce4bb,10,Thermodynamics Specialists
4c8ad922,9,Autocad Specialists
a8b0a305,10,Thermodynamics Specialists
8807e8af,9,Autocad Specialists
6c437d3d,9,Autocad Specialists
92578629,9,Autocad Specialists
cc4f574f,9,Autocad Specialists
0223ebc9,3,Staad.Pro Specialists
b171e5b1,3,Staad.Pro Specialists
bc3f872b,2,Staad.Pro Specialists
8eb54d37,2,Staad.Pro Specialists
03a383c8,3,Staad.Pro Specialists
fe7df1a3,1,Staad.Pro Specialists
2c3f6fa2,2,Staad.Pro Specialists
43274a53,1,Staad.Pro Specialists
673eef18,3,Staad.Pro Specialists
ac08e843,1,Staad.Pro Specialists
d37d889d,3,Staad.Pro Specialists
cc35ea46,1,Staad.Pro Specialists
3427f5f5,3,Staad.Pro Specialists
83944575,2,Staad.Pro Specialists
e518242c,3,Staad.Pro Specialists
001da176,2,Staad.Pro Specialists
2a552486,1,Staad.Pro Specialists
3f400fa8,2,Staad.Pro Specialists
b809ea2f,2,Staad.Pro Specialists
728cc029,3,Staad.Pro Specialists
e9ee82c0,1,Staad.Pro Specialists
78e33478,2,Staad.Pro Specialists
2797b5f9,1,Staad.Pro Specialists
f416d1b8,3,Staad.Pro Specialists
36b09ac0,2,Staad.Pro Specialists
a72a54a1,2,Staad.Pro Specialists
91499e78,3,Staad.Pro Specialists
cf08f0c6,1,Staad.Pro Specialists
87c0fedb,2,Staad.Pro Specialists
cbfcef4a,2,Staad.Pro Specialists
c9f31169,1,Staad.Pro Specialists
760c11a4,1,Staad.Pro Specialists
4f2f7a38,3,Staad.Pro Specialists
8e401c66,3,Staad.Pro Specialists
920f30f5,1,Staad.Pro Specialists
69beaa00,3,Staad.Pro Specialists
74cb397f,3,Staad.Pro Specialists
1e981aba,3,Staad.Pro Specialists
4bc651c6,2,Staad.Pro Specialists
22dbcc98,2,Staad.Pro Specialists
7dce65d6,8,Problem Solving Specialists
e9d7b49b,8,Problem Solving Specialists
c1437a7d,7,Problem Solving Specialists
e4cbcc80,7,Problem Solving Specialists
7fad425b,-1,Noise
823f0567,7,Problem Solving Specialists
72f96a3d,7,Problem Solving Specialists
af948401,7,Problem Solving Specialists
82866f42,8,Problem Solving Specialists
8e4edb28,8,Problem Solving Specialists
4507e516,-1,Noise
e6580c3d,-1,Noise
380d6c28,8,Problem Solving Specialists
e6f8c684,7,Problem Solving Specialists
8fc19b2b,-1,Noise
639b1640,-1,Noise
18f34e0c,-1,Noise
b4d3a694,8,Problem Solving Specialists
1fc59d35,7,Problem Solving Specialists
d0cb7149,-1,Noise
43649994,8,Problem Solving Specialists
76b2f035,7,Problem Solving Specialists
316534e8,-1,Noise
8b70f493,8,Problem Solving Specialists
fb1db003,8,Problem Solving Specialists
fca8e1a4,8,Problem Solving Specialists
e280ee48,7,Problem Solving Specialists
e0fee96d,7,Problem Solving Specialists
52ed4b51,-1,Noise
391cacfb,8,Problem Solving Specialists
73ac7061,7,Problem Solving Specialists
63d84ec2,-1,Noise
26ca3df2,-1,Noise
e4fa2430,-1,Noise
0d3a3475,-1,Noise
2c2dc03b,7,Problem Solving Specialists
a14aa17e,8,Problem Solving Specialists
9b13f594,7,Problem Solving Specialists
97094582,-1,Noise
b87d4eeb,8,Problem Solving Specialists
40e019d0,0,Lesson Planning Specialists
4b4b36d5,6,Problem Solving Specialists
d886dc5f,0,Lesson Planning Specialists
541d4295,6,Problem Solving Specialists
864f131d,6,Problem Solving Specialists
fdaca12e,0,Lesson Planning Specialists
a34d7caa,-1,Noise
406f050a,-1,Noise
9f223f1d,0,Lesson Planning Specialists
0acf55e6,0,Lesson Planning Specialists
82af1d7f,6,Problem Solving Specialists
800f80bb,0,Lesson Planning Specialists
ef7fa690,0,Lesson Planning Specialists
43c88866,0,Lesson Planning Specialists
1b44503d,-1,Noise
be1f606d,6,Problem Solving Specialists
97c41d8a,0,Lesson Planning Specialists
d2bd6dc5,0,Lesson Planning Specialists
72f77e7b,-1,Noise
61be5a3c,6,Problem Solving Specialists
c3d35547,6,Problem Solving Specialists
7f7e9f2d,0,Lesson Planning Specialists
6bf34b59,-1,Noise
1ef282f3,6,Problem Solving Specialists
a0f623a8,0,Lesson Planning Specialists
dedd9884,6,Problem Solving Specialists
6dc51c8f,6,Problem Solving Specialists
c688bab1,6,Problem Solving Specialists
385884d3,6,Problem Solving Specialists
1ddd0898,0,Lesson Planning Specialists
86ebbd70,6,Problem Solving Specialists
3c9f4ca2,6,Problem Solving Specialists
e93b31a8,6,Problem Solving Specialists
f4027fee,6,Problem Solving Specialists
af5545cf,6,Problem Solving Specialists
109257e4,-1,Noise
e1ebddf1,-1,Noise
5e8b53ee,0,Lesson Planning Specialists
95d7c8f2,6,Problem Solving Specialists
f16b75b2,0,Lesson Planning Specialists
